	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
RP11-338N10.2	4.73636827958541	4.73636827958541	4.73636827958541	5.24611533220046	4.73636827958541	4.96827492553327
RP11-338N10.3	4.73636827958541	5.01457718842431	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
VAMP3	11.5476584119218	11.4534500460104	11.5498925250348	11.7459525604639	11.7753595519073	11.71159605053
RP3-467L1.6	5.23099856814777	5.21676473967919	5.30127328691047	5.15329107568632	5.03704249764264	5.49748655038224
PER3	7.60896170048645	7.64313164997494	7.60389505362791	7.92583879085352	7.71621943058004	7.71469152815308
RP3-467L1.4	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	4.73636827958541	4.73636827958541
UTS2	6.03782313852215	5.91765560451246	5.777250034301	5.98641463614211	5.9758563882086	6.14770067813182
TNFRSF9	5.02287292524087	5.01457718842431	4.73636827958541	6.07538032246746	6.12655038179818	6.13121838928248
PARK7	11.7882260986449	11.8236547437963	11.7478135245688	12.4544340498498	12.4405338371284	12.3550651123594
ERRFI1	11.6810841881636	11.6749548212418	11.7581954132112	12.3878045307145	12.463274360881	12.4047611261664
RP11-431K24.1	4.73636827958541	5.01457718842431	5.02017083352756	4.73636827958541	5.03704249764264	4.73636827958541
RP11-431K24.3	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	5.03704249764264	5.19870020463124
RP11-431K24.4	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
SLC45A1	6.54140203732939	6.56247976065879	6.395683639256	6.82224156880692	6.5829366970977	6.78628546539557
RERE	11.6972134401017	11.7232765837861	11.9378980851137	11.1753041204098	11.0633406355418	11.0976079955147
RP5-1115A15.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP4-633I8.4	4.73636827958541	5.12921023232675	5.13708382267861	4.73636827958541	4.73636827958541	4.73636827958541
ENO1	15.6657421497383	15.7172748207249	15.6493037956168	15.1791843963108	15.2240611275994	15.1885200224278
ENO1-IT1	5.92039272439874	5.91765560451246	5.87835526156069	5.740766392102	5.52351795199437	6.2112493878634
